,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Time,result
97,movie5,movie5-0011.jpg,movie5-0011-1.jpg,0.02953693643212318,0.0008025020943023263,0.02120481058955193,0.6806173324584961,0.21591441333293915,0.001904087490402162,0.050019901245832436,5.5,Happy
249,movie5,movie5-0014.jpg,movie5-0014-1.jpg,0.029782744124531742,0.002257094020023942,0.07380026578903197,0.5811352133750916,0.2034893035888672,0.004593327641487122,0.10494209825992584,7.0,Happy
229,movie5,movie5-0015.jpg,movie5-0015-1.jpg,0.010879823006689548,0.00020505991415120659,0.010891751386225224,0.931496560573578,0.028049459680914882,0.0011525466106832027,0.017324874177575108,7.5,Happy
75,movie5,movie5-0016.jpg,movie5-0016-1.jpg,0.036994244903326035,0.00040882645407691603,0.03571264073252678,0.7575439810752869,0.0805751159787178,0.002556158695369959,0.08620896190404892,8.0,Happy
145,movie5,movie5-0017.jpg,movie5-0017-1.jpg,0.16355685889720914,0.026176897808909416,0.2116791009902954,0.0841141864657402,0.4270224273204804,0.0054793781600892535,0.08197111636400223,8.5,Sad
147,movie5,movie5-0019.jpg,movie5-0019-1.jpg,0.11522632837295532,0.0006482162280008197,0.06975182890892029,0.10852906852960588,0.2234213799238205,0.0036904953885823493,0.47873270511627203,9.5,Neutral
117,movie5,movie5-0020.jpg,movie5-0020-1.jpg,0.04423364251852036,0.002628098474815488,0.0207696333527565,0.7159818410873413,0.16195158660411835,0.003955207299441099,0.0504799485206604,10.0,Happy
292,movie5,movie5-0021.jpg,movie5-0021-1.jpg,0.09775184839963913,0.003871566848829389,0.07489673048257828,0.2535463869571686,0.4253425002098084,0.006664213724434376,0.13792674243450165,10.5,Sad
161,movie5,movie5-0022.jpg,movie5-0022-1.jpg,0.08993684500455856,0.0048422571271657935,0.10340755432844162,0.3604580760002136,0.3357834219932556,0.011205415241420269,0.0943663939833641,11.0,Happy
200,movie5,movie5-0023.jpg,movie5-0023-1.jpg,0.048835061490535736,0.008892970159649849,0.07794883847236632,0.6786604523658752,0.1025744155049324,0.015230374410748482,0.06785792112350464,11.5,Happy
194,movie5,movie5-0024.jpg,movie5-0024-1.jpg,0.05295975878834725,0.002400095574557781,0.049086730927228935,0.6886105537414551,0.1356579214334488,0.025196783244609836,0.04608814418315888,12.0,Happy
254,movie5,movie5-0026.jpg,movie5-0026-1.jpg,0.011294838041067123,0.00014434935292229056,0.012957928702235222,0.8424844145774841,0.08025070279836655,0.002476134337484837,0.05039164423942566,13.0,Happy
140,movie5,movie5-0027.jpg,movie5-0027-1.jpg,0.002520302776247263,1.0383734661445487e-05,0.0013673988869413733,0.935989260673523,0.012376285158097744,0.0003267889260314405,0.04740957543253898,13.5,Happy
126,movie5,movie5-0033.jpg,movie5-0033-1.jpg,0.003632567590102553,4.8604299081489444e-05,0.0026659416034817696,0.9646064043045044,0.013079033233225346,0.0010431193513795733,0.014924372546374796,16.5,Happy
155,movie5,movie5-0034.jpg,movie5-0034-1.jpg,0.13785864412784574,0.009063106030225756,0.120363749563694,0.13770213723182678,0.5532515645027161,0.014434196986258032,0.02732658572494984,17.0,Sad
125,movie5,movie5-0035.jpg,movie5-0035-1.jpg,0.0083491625264287,0.0021854701917618517,0.01535122562199831,0.9353802800178528,0.023229904472827908,0.010548986494541168,0.004954838193953036,17.5,Happy
114,movie5,movie5-0036.jpg,movie5-0036-1.jpg,0.1657126545906067,0.004755070898681879,0.12049043923616408,0.10577981173992156,0.4835377335548401,0.006668627727776766,0.11305561661720274,18.0,Sad
221,movie5,movie5-0040.jpg,movie5-0040-1.jpg,0.04823743179440498,0.003817794844508171,0.03813567385077477,0.7279041409492493,0.14921170473098755,0.007038160227239131,0.025655098259449,20.0,Happy
131,movie5,movie5-0041.jpg,movie5-0041-1.jpg,0.036096833646297455,0.00026634937967173755,0.0190401840955019,0.8067950010299683,0.09368987381458282,0.0021610150579363108,0.041950754821300514,20.5,Happy
173,movie5,movie5-0042.jpg,movie5-0042-1.jpg,0.026081336662173268,0.0010505466489121318,0.02836281433701515,0.7847141027450562,0.1278960406780243,0.0029354868456721306,0.0289597287774086,21.0,Happy
103,movie5,movie5-0043.jpg,movie5-0043-1.jpg,0.0041974494233727455,4.665605229092762e-05,0.003005279693752527,0.9521657824516296,0.01984654553234577,0.0007898960611782968,0.019948365166783333,21.5,Happy
0,movie5,movie5-0044.jpg,movie5-0044-1.jpg,0.0015943037578836086,6.430913344956935e-06,0.0009020052966661752,0.9773488044738771,0.007259556092321874,0.00024844385916367173,0.012640567496418951,22.0,Happy
8,movie5,movie5-0045.jpg,movie5-0045-1.jpg,0.003934572450816631,5.74834193685092e-05,0.004252907820045948,0.9647801518440248,0.016941802576184273,0.0007115154876373707,0.009321515448391438,22.5,Happy
51,movie5,movie5-0046.jpg,movie5-0046-1.jpg,0.00989456195384264,0.00016772729577496648,0.009267774410545826,0.9028170108795166,0.055005569010972984,0.0011590856593102215,0.021688321605324745,23.0,Happy
53,movie5,movie5-0049.jpg,movie5-0049-1.jpg,0.1877470761537552,0.0012564054923132062,0.09869642555713654,0.4547952711582184,0.08542060106992723,0.020480504259467125,0.15160369873046875,24.5,Happy
195,movie5,movie5-0050.jpg,movie5-0050-1.jpg,0.01541396137326956,0.001741659245453775,0.03478403016924858,0.8148242831230164,0.06988894939422607,0.022338569164276127,0.041008543223142624,25.0,Happy
124,movie5,movie5-0051.jpg,movie5-0051-1.jpg,0.03146378695964813,0.002918679499998689,0.06369815021753311,0.5621054172515869,0.22324101626873016,0.012913027778267859,0.1036599650979042,25.5,Happy
188,movie5,movie5-0053.jpg,movie5-0053-1.jpg,0.03324339911341667,0.0023912552278488874,0.04543345794081688,0.741470456123352,0.12656629085540771,0.012128032743930815,0.03876711055636406,26.5,Happy
207,movie5,movie5-0069.jpg,movie5-0069-1.jpg,0.15220670402050018,0.008819240145385265,0.2125841379165649,0.11506567895412445,0.2935236692428589,0.16888181865215302,0.04891873151063919,34.5,Sad
293,movie5,movie5-0072.jpg,movie5-0072-1.jpg,0.11025878041982652,0.002160807838663459,0.12358568608760835,0.17588116228580475,0.4716826379299164,0.0027454199735075235,0.1136854737997055,36.0,Sad
232,movie5,movie5-0073.jpg,movie5-0073-1.jpg,0.15898752212524414,0.0037561426870524883,0.09729934483766556,0.4614414572715759,0.21483877301216125,0.0175919346511364,0.04608476161956787,36.5,Happy
176,movie5,movie5-0074.jpg,movie5-0074-1.jpg,0.17398227751255035,0.0037589140702039,0.22486673295497892,0.23236970603466034,0.28197330236434937,0.02205249667167664,0.06099661439657211,37.0,Sad
108,movie5,movie5-0085.jpg,movie5-0085-1.jpg,0.02861583977937698,0.00039815151831135154,0.02442789264023304,0.8404479622840881,0.08357773721218109,0.0012435397366061807,0.02128881774842739,42.5,Happy
98,movie5,movie5-0086.jpg,movie5-0086-1.jpg,0.01023400854319334,0.0009344926220364868,0.011952006258070469,0.9014082551002502,0.025027228519320488,0.0040127914398908615,0.0464312955737114,43.0,Happy
